Time_sec,CycleNo,PT01_MPa,T01[Treac]_℃,Date&Time,T03[Troom]_℃
12738.0,2,2.8592,379.8,7/21/2024_11:20:39 PM,23.8
12740.0,2,2.8694,379.8,7/21/2024_11:20:41 PM,23.8
12742.0,2,2.8721,379.8,7/21/2024_11:20:43 PM,23.8
12744.0,2,2.87,379.9,7/21/2024_11:20:45 PM,23.8
12746.0,2,2.8664,380.1,7/21/2024_11:20:47 PM,23.8
12748.0,2,2.8619,380.3,7/21/2024_11:20:49 PM,23.8
12750.0,2,2.8578,381.3,7/21/2024_11:20:51 PM,23.8
12752.0,2,2.8539,381.5,7/21/2024_11:20:53 PM,23.8
12754.0,2,2.8501,382.6,7/21/2024_11:20:55 PM,23.8
12756.0,2,2.846,382.6,7/21/2024_11:20:57 PM,23.8
12758.0,2,2.8425,382.7,7/21/2024_11:20:59 PM,23.8
12760.0,2,2.8391,384.0,7/21/2024_11:21:01 PM,23.8
12762.0,2,2.8359,384.0,7/21/2024_11:21:03 PM,23.8
12764.0,2,2.8327,384.1,7/21/2024_11:21:05 PM,23.8
12766.0,2,2.8293,384.3,7/21/2024_11:21:07 PM,23.8
12768.0,2,2.8263,384.5,7/21/2024_11:21:09 PM,23.8
12770.0,2,2.8235,385.5,7/21/2024_11:21:11 PM,23.8
12772.0,2,2.8207,385.6,7/21/2024_11:21:13 PM,23.8
12774.0,2,2.818,385.7,7/21/2024_11:21:15 PM,23.8
12776.0,2,2.8154,385.8,7/21/2024_11:21:17 PM,23.8
12778.0,2,2.8125,386.1,7/21/2024_11:21:19 PM,23.8
12780.0,2,2.81,386.3,7/21/2024_11:21:21 PM,23.8
12782.0,2,2.8075,386.5,7/21/2024_11:21:23 PM,23.8
12784.0,2,2.8052,386.7,7/21/2024_11:21:25 PM,23.8
12786.0,2,2.8029,386.9,7/21/2024_11:21:27 PM,23.8
12788.0,2,2.8003,387.1,7/21/2024_11:21:29 PM,23.8
12790.0,2,2.7981,387.3,7/21/2024_11:21:31 PM,23.8
12792.0,2,2.796,387.5,7/21/2024_11:21:33 PM,23.8
12794.0,2,2.7939,387.6,7/21/2024_11:21:35 PM,23.8
12796.0,2,2.7918,387.8,7/21/2024_11:21:37 PM,23.8
12798.0,2,2.7898,388.0,7/21/2024_11:21:39 PM,23.8
12800.0,2,2.7878,388.2,7/21/2024_11:21:41 PM,23.8
12802.0,2,2.7858,388.3,7/21/2024_11:21:43 PM,23.8
12804.0,2,2.7839,388.5,7/21/2024_11:21:45 PM,23.8
12806.0,2,2.7818,388.6,7/21/2024_11:21:47 PM,23.8
12808.0,2,2.7799,388.7,7/21/2024_11:21:49 PM,23.8
12810.0,2,2.7781,388.9,7/21/2024_11:21:51 PM,23.8
12812.0,2,2.7763,389.0,7/21/2024_11:21:53 PM,23.8
12814.0,2,2.7746,389.1,7/21/2024_11:21:55 PM,23.8
12816.0,2,2.7729,389.2,7/21/2024_11:21:57 PM,23.8
12818.0,2,2.7712,389.3,7/21/2024_11:21:59 PM,23.8
12820.0,2,2.7695,389.4,7/21/2024_11:22:01 PM,23.8
12822.0,2,2.7679,389.4,7/21/2024_11:22:03 PM,23.8
12824.0,2,2.7663,389.5,7/21/2024_11:22:05 PM,23.8
12826.0,2,2.7647,389.6,7/21/2024_11:22:07 PM,23.8
12828.0,2,2.7632,389.7,7/21/2024_11:22:09 PM,23.8
12830.0,2,2.7615,389.7,7/21/2024_11:22:11 PM,23.8
12832.0,2,2.76,389.8,7/21/2024_11:22:13 PM,23.8
12834.0,2,2.7586,389.8,7/21/2024_11:22:15 PM,23.8
12836.0,2,2.7571,389.9,7/21/2024_11:22:17 PM,23.8
12838.0,2,2.7557,389.9,7/21/2024_11:22:19 PM,23.8
12840.0,2,2.7541,389.9,7/21/2024_11:22:21 PM,23.8
12842.0,2,2.7527,389.9,7/21/2024_11:22:23 PM,23.8
12844.0,2,2.7514,390.0,7/21/2024_11:22:25 PM,23.8
12846.0,2,2.75,390.0,7/21/2024_11:22:27 PM,23.8
12848.0,2,2.7487,390.0,7/21/2024_11:22:29 PM,23.8
12850.0,2,2.7473,390.1,7/21/2024_11:22:31 PM,23.8
12852.0,2,2.746,390.1,7/21/2024_11:22:33 PM,23.8
12854.0,2,2.7447,390.1,7/21/2024_11:22:35 PM,23.8
12856.0,2,2.7435,390.1,7/21/2024_11:22:37 PM,23.8
12858.0,2,2.7422,390.1,7/21/2024_11:22:39 PM,23.8
12860.0,2,2.7409,390.1,7/21/2024_11:22:41 PM,23.8
12862.0,2,2.7397,390.1,7/21/2024_11:22:43 PM,23.8
12864.0,2,2.7384,390.1,7/21/2024_11:22:45 PM,23.8
12866.0,2,2.7373,390.1,7/21/2024_11:22:47 PM,23.8
12868.0,2,2.7361,390.1,7/21/2024_11:22:49 PM,23.8
12870.0,2,2.7348,390.1,7/21/2024_11:22:51 PM,23.8
12872.0,2,2.7336,390.1,7/21/2024_11:22:53 PM,23.8
12874.0,2,2.7325,390.1,7/21/2024_11:22:55 PM,23.8
12876.0,2,2.7313,390.1,7/21/2024_11:22:57 PM,23.8
12878.0,2,2.7302,390.1,7/21/2024_11:22:59 PM,23.8
12880.0,2,2.7291,390.1,7/21/2024_11:23:01 PM,23.8
12882.0,2,2.728,390.1,7/21/2024_11:23:03 PM,23.8
12884.0,2,2.7269,390.1,7/21/2024_11:23:05 PM,23.8
12886.0,2,2.7259,390.1,7/21/2024_11:23:07 PM,23.8
12888.0,2,2.7248,390.0,7/21/2024_11:23:09 PM,23.8
12890.0,2,2.7237,390.0,7/21/2024_11:23:11 PM,23.8
12892.0,2,2.7225,390.0,7/21/2024_11:23:13 PM,23.8
12894.0,2,2.7215,390.0,7/21/2024_11:23:15 PM,23.8
12896.0,2,2.7205,390.0,7/21/2024_11:23:17 PM,23.8
12898.0,2,2.7195,390.0,7/21/2024_11:23:19 PM,23.8
12900.0,2,2.7185,389.9,7/21/2024_11:23:21 PM,23.8
12902.0,2,2.7175,389.9,7/21/2024_11:23:23 PM,23.8
12904.0,2,2.7165,389.9,7/21/2024_11:23:25 PM,23.8
12906.0,2,2.7155,389.9,7/21/2024_11:23:27 PM,23.8
12908.0,2,2.7145,389.8,7/21/2024_11:23:29 PM,23.8
12910.0,2,2.7136,389.8,7/21/2024_11:23:31 PM,23.8
12912.0,2,2.7126,389.8,7/21/2024_11:23:33 PM,23.8
12914.0,2,2.7117,389.8,7/21/2024_11:23:35 PM,23.8
12916.0,2,2.7106,389.7,7/21/2024_11:23:37 PM,23.8
12918.0,2,2.7097,389.7,7/21/2024_11:23:39 PM,23.8
12920.0,2,2.7088,389.7,7/21/2024_11:23:41 PM,23.8
12922.0,2,2.7079,389.6,7/21/2024_11:23:43 PM,23.8
12924.0,2,2.707,389.6,7/21/2024_11:23:45 PM,23.8
12926.0,2,2.706,389.6,7/21/2024_11:23:47 PM,23.8
12928.0,2,2.7051,389.5,7/21/2024_11:23:49 PM,23.8
12930.0,2,2.7043,389.5,7/21/2024_11:23:51 PM,23.8
12932.0,2,2.7034,389.5,7/21/2024_11:23:53 PM,23.8
12934.0,2,2.7026,389.4,7/21/2024_11:23:55 PM,23.8
12936.0,2,2.7016,389.4,7/21/2024_11:23:57 PM,23.8
12938.0,2,2.7008,389.4,7/21/2024_11:23:59 PM,23.8
12940.0,2,2.6999,389.3,7/21/2024_11:24:01 PM,23.8
12942.0,2,2.6991,389.3,7/21/2024_11:24:03 PM,23.8
12944.0,2,2.6983,389.3,7/21/2024_11:24:05 PM,23.8
12946.0,2,2.6975,389.2,7/21/2024_11:24:07 PM,23.8
12948.0,2,2.6966,389.2,7/21/2024_11:24:09 PM,23.8
12950.0,2,2.6958,389.2,7/21/2024_11:24:11 PM,23.8
12952.0,2,2.695,389.1,7/21/2024_11:24:13 PM,23.8
12954.0,2,2.6942,389.1,7/21/2024_11:24:15 PM,23.8
12956.0,2,2.6934,389.0,7/21/2024_11:24:17 PM,23.8
12958.0,2,2.6926,389.0,7/21/2024_11:24:19 PM,23.8
12960.0,2,2.6919,389.0,7/21/2024_11:24:21 PM,23.8
12962.0,2,2.6911,388.9,7/21/2024_11:24:23 PM,23.8
12964.0,2,2.6903,388.9,7/21/2024_11:24:25 PM,23.8
12966.0,2,2.6896,388.9,7/21/2024_11:24:27 PM,23.8
12968.0,2,2.6888,388.8,7/21/2024_11:24:29 PM,23.8
12970.0,2,2.688,388.8,7/21/2024_11:24:31 PM,23.8
12972.0,2,2.6873,388.7,7/21/2024_11:24:33 PM,23.8
12974.0,2,2.6866,388.7,7/21/2024_11:24:35 PM,23.8
